,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,🧱,🧱,🧱,🧱,🧱,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,⛰️,⛰️,🗻
,,,🧱,,,,🧱,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🏔️,🗻
,,,🧱,,,,🧱,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,🪨,🗻
,,,🧱,,,,🧱,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🗻,🗻,
,,,🧱,🧱,🧱,,🧱,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🗻,🗻,
,,,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,🏔️
,,,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🏔️,🪨
,,,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,🪨,🪨
,,,👾,👾,👾,👾,👾,👾,👾,👾,👾,👹,👹,👹,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🗻,⛰️,⛰️
,,,👾,👾,👾,👾,👾,👾,👾,👾,👾,👹,👹,👹,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,👾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,⛰️,⛰️
